测试频道,#genre#
CCTV1,http://120.84.96.29:808/hls/1/index.m3u8
CCTV3,http://120.84.96.29:808/hls/3/index.m3u8
CCTV5,http://120.84.96.29:808/hls/5/index.m3u8
CCTV6,http://120.84.96.29:808/hls/6/index.m3u8
CCTV8,http://120.84.96.29:808/hls/8/index.m3u8
CCTV9,http://120.84.96.29:808/hls/9/index.m3u8
广东体育,http://120.84.96.29:808/hls/22/index.m3u8
澳门莲花卫视,http://120.84.96.29:808/hls/24/index.m3u8
CCTV5+,http://120.84.96.29:808/hls/30/index.m3u8
东森电影台,http://120.84.96.29:808/hls/32/index.m3u8
东森洋片台,http://120.84.96.29:808/hls/33/index.m3u8
LSTime电影台,http://120.84.96.29:808/hls/35/index.m3u8
北京卫视,http://120.84.96.29:808/hls/65/index.m3u8
安徽卫视,http://120.84.96.29:808/hls/68/index.m3u8
凤凰香港,http://120.84.96.29:808/hls/81/index.m3u8
戏剧,http://120.84.96.29:808/hls/84/index.m3u8
天映经典,http://120.84.96.29:808/hls/85/index.m3u8
J2,http://120.84.96.29:808/hls/86/index.m3u8
CCTV1,http://120.84.96.29:808/hls/101/index.m3u8
CCTV2,http://120.84.96.29:808/hls/102/index.m3u8
CCTV3,http://120.84.96.29:808/hls/103/index.m3u8
CCTV4,http://120.84.96.29:808/hls/104/index.m3u8
CCTV7,http://120.84.96.29:808/hls/107/index.m3u8
CCTV8,http://120.84.96.29:808/hls/108/index.m3u8
CCTV9,http://120.84.96.29:808/hls/109/index.m3u8
CCTV10,http://120.84.96.29:808/hls/110/index.m3u8
CCTV12,http://120.84.96.29:808/hls/112/index.m3u8
CCTV14,http://120.84.96.29:808/hls/114/index.m3u8
CCTV5+,http://120.84.96.29:808/hls/116/index.m3u8
广东经济,http://120.84.96.29:808/hls/118/index.m3u8
广东卫视,http://120.84.96.29:808/hls/121/index.m3u8
珠江频道,http://120.84.96.29:808/hls/122/index.m3u8
深圳卫视,http://120.84.96.29:808/hls/125/index.m3u8
湖南卫视,http://120.84.96.29:808/hls/126/index.m3u8
深圳卫视,http://120.84.96.29:808/hls/125/index.m3u8
湖南卫视,http://120.84.96.29:808/hls/126/index.m3u8
湖北卫视,http://120.84.96.29:808/hls/128/index.m3u8
浙江卫视,http://120.84.96.29:808/hls/129/index.m3u8
江苏卫视,http://120.84.96.29:808/hls/130/index.m3u8
山东卫视,http://120.84.96.29:808/hls/132/index.m3u8
辽宁卫视,http://120.84.96.29:808/hls/133/index.m3u8
黑龙江卫视,http://120.84.96.29:808/hls/139/index.m3u8
