港澳频道,#genre#
凤凰中文,http://117.169.120.138:8080/live/fhchinese/index.m3u8
凤凰资讯,http://117.169.120.138:8080/live/fhzixun/index.m3u8
#__#
凤凰资讯,http://183.207.249.35/PLTV/3/224/3221226923/index.m3u8
凤凰香港,http://183.207.249.35/PLTV/3/224/3221226975/index.m3u8
#__#
凤凰中文,http://playtv-live.ifeng.com/live/06OLEGEGM4G_tv1.m3u8
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4_tv1.m3u8
#__#
凤凰中文,http://itv.my.to/gd?id=32&play=2
凤凰资讯,http://itv.my.to/gd?id=33&play=2
凤凰香港,http://itv.my.to/gd?id=34&play=2
#__#
澳视澳门,http://103.233.191.133:1935/ch1/ch1.live/playlist.m3u8
澳视澳门,http://103.233.191.134:1935/ch1/ch1.live/playlist.m3u8
澳视葡文,http://103.233.191.132:1935/ch2/ch2.live/playlist.m3u8
澳视葡文,http://103.233.191.133:1935/ch2/ch2.live/playlist.m3u8
澳视葡文,http://103.233.191.134:1935/ch2/ch2.live/playlist.m3u8
澳门macau,http://103.233.191.132:1935/ch3/ch3.live/playlist.m3u8
澳门macau,http://103.233.191.133:1935/ch3/ch3.live/playlist.m3u8
澳门macau,http://103.233.191.134:1935/ch3/ch3.live/playlist.m3u8
澳视体育,http://103.233.191.132:1935/ch4/sport_ch4.live/playlist.m3u8
澳视体育,http://103.233.191.133:1935/ch4/sport_ch4.live/playlist.m3u8
澳视体育,http://103.233.191.134:1935/ch4/sport_ch4.live/playlist.m3u8
澳视资讯,http://103.233.191.133:1935/ch5/info_ch5.live/playlist.m3u8
澳视资讯,http://103.233.191.134:1935/ch5/info_ch5.live/playlist.m3u8
澳视综艺,http://103.233.191.133:1935/ch6/hd_ch6.live/playlist.m3u8
澳视综艺,http://103.233.191.134:1935/ch6/hd_ch6.live/playlist.m3u8
澳视综艺,http://103.233.191.132:1935/ch6/hd_ch6.live/playlist.m3u8
#__#
澳视澳门,http://61.244.22.4/ch1/ch1.live/index.m3u8
澳视葡文,http://61.244.22.4/ch2/ch2.live/index.m3u8
澳门macau,http://61.244.22.4/ch3/ch3.live/index.m3u8
澳视澳门,http://61.244.22.5/ch1/ch1.live/playelist.m3u8
澳视葡文,http://61.244.22.5/ch2/ch2.live/chunklist.m3u8
澳门Macau,http://61.244.22.5/ch3/ch3.live/chunklist.m3u8
#__#
澳门莲花卫视,http://nettvpro.live/hls/lotustv.php
澳门macau,http://124.238.99.44:808/hls/357/index.m3u8
