地方频道,#genre#
江苏教育,http://183.207.248.13:80/PLTV/4/224/3221225923/index.m3u8
江苏公共新闻,http://183.207.248.71/gitv/live1/G_JSGG/G_JSGG#http://ott.js.chinamobile.com/PLTV/4/224/3221225925/index.m3u8
江苏城市,http://183.207.248.13:80/PLTV/4/224/3221225929/index.m3u8
江苏体育休闲,http://183.207.248.71/gitv/live1/G_JSTY/G_JSTY#http://ott.js.chinamobile.com/PLTV/4/224/3221225935/index.m3u8
江苏影视,http://183.207.248.13:80/PLTV/4/224/3221225937/index.m3u8
南京教科,http://live.nbs.cn/channels/njtv/jkpd/m3u8:500k/live.m3u8
南京生活,http://live.nbs.cn/channels/njtv/shpd/m3u8:500k/live.m3u8
南京娱乐,http://live.nbs.cn/channels/njtv/ylpd/m3u8:500k/live.m3u8
南京十八,http://live.nbs.cn/channels/njtv/sbpd/m3u8:500k/live.m3u8
南京信息,http://live.nbs.cn/channels/njtv/xxpd/m3u8:500k/live.m3u8
北京科教,http://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s3/index.m3u8
北京生活,http://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s7/index.m3u8
北京青年,http://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s8/index.m3u8
广东生活,http://hls-ott-zhibo.wasu.tv/live/452/index.m3u8
广东文化台,https://glive.grtn.cn/live/wenhua_test0203.m3u8
佛山影视,http://pili-live-rtmp.wdit.com.cn/wditlive/fs_yspd.m3u8
佛山影视,http://pili-live-rtmp.wdit.com.cn/wditlive/fs_yspd.flv
佛山公共,http://pili-live-rtmp.wdit.com.cn/wditlive/fs_ggpd.m3u8
佛山公共,http://pili-live-rtmp.wdit.com.cn/wditlive/fs_ggpd.flv
佛山顺德,http://pili-live-rtmp.wdit.com.cn/wditlive/fs_sdpd.flv
佛山顺德,http://pili-live-rtmp.wdit.com.cn/wditlive/fs_sdpd.m3u8
佛山综合,http://pili-live-rtmp.wdit.com.cn/wditlive/fs_zhpd.flv
佛山综合,http://pili-live-rtmp.wdit.com.cn/wditlive/fs_zhpd.m3u8
佛山南海,http://pili-live-rtmp.wdit.com.cn/wditlive/fs_nhpd.flv
佛山南海,http://pili-live-rtmp.wdit.com.cn/wditlive/fs_nhpd.m3u8
福州综合,http://live.zohi.tv/video/s10001-FZTV-1/index.m3u8
佛州影视,http://live.zohi.tv/video/s10001-yspd-2/index.m3u8
佛州生活,http://live.zohi.tv/video/s10001-shpd-3/index.m3u8
佛州少儿,http://live.zohi.tv/video/s10001-sepd-4/index.m3u8
龙岩公共,http://live.lytv.net.cn/ggpd/sd/live.m3u8
三明公共,http://stream.smntv.cn/smtv2/sd/live.m3u8
浙江教育台,http://hw-m-l.cztv.com/channels/lantian/channel04/1080p.m3u8
浙江教育台,http://hw-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江休闲台,http://hw-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江民生休闲,http://hw-m-l.cztv.com/channels/lantian/channel06/1080p.m3u8#http://hw-m-l.cztv.com/channels/lantian/channel06/720p.m3u8
浙江教科影视,http://yd-m-l.cztv.com/channels/lantian/channel04/1080p.m3u8
浙江少儿,http://hw-m-l.cztv.com/channels/lantian/channel08/1080p.m3u8
浙江少儿,http://hw-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江国际,http://hw-m-l.cztv.com/channels/lantian/channel10/1080p.m3u8
浙江国际,http://hw-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江钱江台,http://hw-m-l.cztv.com/channels/lantian/channel02/1080p.m3u8
浙江经济生活,http://yd-m-l.cztv.com/channels/lantian/channel03/1080p.m3u8
浙江经济生活,http://hw-m-l.cztv.com/channels/lantian/channel03/1080p.m3u8
浙江经济生活,http://hw-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江数码时代,http://hw-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
金华教育科技,http://live.plus.jinhua.com.cn/jykj/app/live.m3u8
金华都市农村,http://live2.plus.jinhua.com.cn/dsnc/sd/live.m3u8
龙游生活娱乐,http://l.cztvcloud.com/channels/lantian/SXlongyou2/720p.m3u8
开化国家公园,http://l.cztvcloud.com/channels/lantian/SXkaihua2/720p.m3u8
浙江洞头,http://l.cztvcloud.com/channels/lantian/SXdongtou1/720p.m3u8
浙江龙泉,http://l.cztvcloud.com/channels/lantian/SXlongquan1/720p.m3u8
浙江开化,http://l.cztvcloud.com/channels/lantian/SXkaihua1/720p.m3u8
