备用频道（需梯子）,#genre#
中視,http://185.207.176.189:8080/channels/tw-100/playlist.m3u8
中視經典,http://185.207.176.189:8080/channels/tw-102/playlist.m3u8
中視菁采,http://185.207.176.189:8080/channels/tw-103/playlist.m3u8
中視新聞,http://185.207.176.189:8080/channels/tw-101/playlist.m3u8
民視,http://185.207.176.189:8080/channels/tw-300/playlist.m3u8
民視台灣,http://185.207.176.189:8080/channels/tw-304/playlist.m3u8
民視第一,http://185.207.176.189:8080/channels/tw-301/playlist.m3u8
民視新聞,http://185.207.176.189:8080/channels/tw-302/playlist.m3u8
華視,http://185.207.176.189:8080/channels/tw-501/playlist.m3u8
華視教育體育文化,http://185.207.176.189:8080/channels/tw-502/playlist.m3u8
華視新聞,http://185.207.176.189:8080/channels/tw-503/playlist.m3u8
TVB翡翠,http://185.207.176.189:8080/channels/tv-81/playlist.m3u8
TVB J2,http://185.207.176.189:8080/channels/tv-82/playlist.m3u8
無綫新聞,http://185.207.176.189:8080/channels/tv-83/playlist.m3u8
TVB明珠,http://185.207.176.189:8080/channels/tv-84/playlist.m3u8
無綫財經資訊,http://185.207.176.189:8080/channels/tv-85/playlist.m3u8
RHK31,http://185.207.176.189:8080/channels/tv-31/playlist.m3u8
RHK32,http://185.207.176.189:8080/channels/tv-32/playlist.m3u8
RHK33,http://185.207.176.189:8080/channels/tv-33/playlist.m3u8
Viu TV,http://185.207.176.189:8080/channels/tv-99/playlist.m3u8
Viu TV6,http://185.207.176.189:8080/channels/tv-96/playlist.m3u8
ONe,http://93.190.139.35:8278/streams/d/One/playlist.m3u8
中台灣生活網,http://58.99.33.16:1935/liveedge17/live_020_3.stream/chunklist.m3u8
中台灣生活網,http://58.99.33.16:1935/liveedge17/live_852_3.stream/chunklist.m3u8
中台灣生活網,http://58.99.33.16:1935/liveedge17/live_853_3.stream/chunklist.m3u8
中台灣生活網,http://58.99.33.16:1935/liveedge17/live_854_3.stream/chunklist.m3u8
美麗人生,http://58.99.33.16:1935/liveedge17/live_070_3.stream/chunklist.m3u8
MOMO綜合,http://58.99.33.16:1935/liveedge17/live_075_3.stream/chunklist.m3u8
海豚綜合,http://58.99.33.16:1935/liveedge17/live_077_3.stream/chunklist.m3u8
NHK,http://58.99.33.16:1935/liveedge17/live_108_3.stream/chunklist.m3u8
智林體育,http://58.99.33.16:1935/liveedge17/live_122_3.stream/chunklist.m3u8
法國24電視,http://58.99.33.16:1935/liveedge17/live_156_3.stream/chunklist.m3u8
TV5MONDE,http://58.99.33.16:1935/liveedge17/live_157_3.stream/chunklist.m3u8
阿里郎電視,http://58.99.33.16:1935/liveedge17/live_158_3.stream/chunklist.m3u8
寰宇新聞,http://58.99.33.16:1935/liveedge17/live_163_3.stream/chunklist.m3u8
亞洲旅遊,http://58.99.33.16:1935/liveedge17/live_172_3.stream/chunklist.m3u8
博斯運動II,http://58.99.33.16:1935/liveedge17/live_244_3.stream/chunklist.m3u8
